Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::pair<std::string, int> const, int> >, std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::end()
  0.00      0.00     0.00      233     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::size() const
  0.00      0.00     0.00      211     0.00     0.00  std::map<std::pair<std::string, int>, int, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::key_comp() const
  0.00      0.00     0.00      211     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::key_comp() const
  0.00      0.00     0.00      211     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<std::string, int> const, int> >::operator--()
  0.00      0.00     0.00      211     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_leftmost()
  0.00      0.00     0.00      211     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::string, int>*, std::vector<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > > >::base() const
  0.00      0.00     0.00       40     0.00     0.00  std::vector<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > >::size() const
  0.00      0.00     0.00       31     0.00     0.00  std::_Vector_base<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string, int> >::max_size() const
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<std::string, int> > >::max_size(std::allocator<std::pair<std::string, int> > const&)
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::string, int>*, std::vector<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > > >::__normal_iterator(std::pair<std::string, int>* const&)
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       20     0.00     0.00  std::vector<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > >::max_size() const
  0.00      0.00     0.00       20     0.00     0.00  std::pair<std::string, int>* std::__uninitialized_copy<false>::__uninit_copy<std::pair<std::string, int>*, std::pair<std::string, int>*>(std::pair<std::string, int>*, std::pair<std::string, int>*, std::pair<std::string, int>*)
